User,spot_danceability,spot_energy,spot_loudness,spot_speechiness,spot_acousticness,spot_instrumentalness,spot_liveness,spot_valence,Class
3,0.648,0.747,-8.033,0.032,0.000132,0.597,0.114,0.44,pleased_at_work_while_working
3,0.738,0.853,-7.395,0.0415,0.00018,0.799,0.0538,0.554,pleased_at_work_while_working
3,0.952,0.527,-10.315,0.146,0.0674,0.869,0.0874,0.235,pleased_at_work_while_working
3,0.816,0.543,-8.495,0.0468,0.205,0.00322,0.104,0.189,pleased_at_work_while_working
3,0.732,0.854,-7.197,0.0534,0.00858,5.02e-06,0.103,0.258,pleased_at_work_while_working
3,0.945,0.584,-7.649,0.044,0.0955,0.341,0.147,0.626,pleased_at_work_while_working
3,0.76,0.744,-7.487,0.0373,0.00121,0.829,0.357,0.149,pleased_at_work_while_working
3,0.808,0.518,-9.552,0.0771,0.049,0.651,0.0707,0.652,pleased_at_work_while_working
4,0.562,0.865,-6.476,0.0922,2.06e-05,0.591,0.219,0.35,excited_at_outdoor_while_working out
4,0.389,0.873,-4.768,0.0475,0.00532,0.0055,0.273,0.303,relaxed_at_home_while_amusing
4,0.453,0.987,-4.485,0.0889,0.0195,0.283,0.268,0.316,calm_at_home_while_amusing
4,0.558,0.99,-2.342,0.196,0.00215,0.651,0.645,0.417,nervous_at_outdoor_while_working out
4,0.624,0.876,-3.374,0.1,0.0735,0,0.327,0.781,peaceful_at_outdoor_while_commuting
4,0.654,0.726,-3.803,0.0401,0.0311,6.35e-05,0.0618,0.728,relaxed_at_work_while_working
4,0.566,0.769,-4.342,0.0872,0.0183,0,0.108,0.385,relaxed_at_home_while_gaming
4,0.448,0.784,-3.686,0.0627,0.106,0.000108,0.668,0.236,bored_at_home_while_gaming
4,0.436,0.922,-3.279,0.0627,0.00374,0.000413,0.253,0.0928,excited_at_home_while_studing
4,0.647,0.514,-10.05,0.0593,0.0655,0,0.398,0.387,nervous_at_work_while_working
4,0.716,0.91,-1.077,0.0341,0.403,0.000406,0.13,0.447,bored_at_work_while_working
4,0.534,0.803,-9.129,0.0743,0.741,6.07e-05,0.307,0.969,peaceful_at_home_while_amusing
4,0.54,0.836,-11.016,0.0427,0.161,0,0.0455,0.884,pleased_at_home_while_studing
4,0.765,0.473,-5.829,0.0514,0.287,0,0.391,0.34,calm_at_work_while_working
4,0.818,0.803,-4.282,0.0797,0.034,0,0.153,0.632,bored_at_work_while_working
4,0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,bored_at_outdoor_while_commuting
4,0.722,0.758,-4.477,0.0471,0.0111,0,0.308,0.62,annoying_at_outdoor_while_commuting
4,0.489,0.724,-8.367,0.0352,0.313,0.185,0.287,0.15,pleased_at_work_while_working
4,0.779,0.867,-3.704,0.0457,0.0491,7.98e-06,0.197,0.915,angry_at_home_while_working out
5,0.622,0.796,-2.999,0.172,0.667,0,0.106,0.62,calm_at_home_while_studing
5,0.622,0.796,-2.999,0.172,0.667,0,0.106,0.62,calm_at_home_while_studing
5,0.531,0.854,-3.149,0.198,0.288,0,0.0773,0.456,calm_at_home_while_studing
5,0.773,0.699,-5.982,0.0958,0.488,3.6e-06,0.0814,0.513,calm_at_home_while_studing
5,0.765,0.269,-10.773,0.121,0.324,0.395,0.106,0.359,calm_at_home_while_studing
5,0.781,0.768,-5.991,0.0394,0.0119,4.91e-06,0.325,0.486,calm_at_work_while_working
5,0.0837,0.0295,-31.578,0.0597,0.99,0.881,0.0715,0.0709,sad_at_work_while_working
5,0.144,0.21,-15.425,0.0344,0.914,0.883,0.0694,0.084,sad_at_work_while_working
5,0.242,0.184,-19.012,0.0477,0.984,0.928,0.0595,0.0393,sad_at_work_while_working
5,0.208,0.182,-15.947,0.0342,0.961,0.945,0.102,0.0622,sad_at_work_while_working
5,0.16,0.178,-18.749,0.036,0.994,0.848,0.0675,0.0348,sad_at_work_while_working
5,0.393,0.195,-18.083,0.0302,0.987,0.895,0.0836,0.179,sad_at_work_while_working
5,0.245,0.193,-13.328,0.0328,0.97,0.873,0.187,0.124,sad_at_work_while_working
5,0.484,0.192,-15.378,0.0465,0.991,0.908,0.106,0.0559,peaceful_at_work_while_working
5,0.235,0.186,-16.925,0.0372,0.989,0.93,0.0822,0.116,peaceful_at_work_while_working
5,0.243,0.122,-23.829,0.0334,0.962,0.929,0.161,0.0871,peaceful_at_work_while_working
5,0.274,0.409,-8.567,0.0306,0.935,0.961,0.0921,0.0567,peaceful_at_work_while_working
5,0.344,0.481,-12.263,0.0498,0.992,0.861,0.108,0.0922,peaceful_at_work_while_working
5,0.565,0.0559,-16.409,0.0535,0.991,0.536,0.0808,0.215,peaceful_at_work_while_working
5,0.269,0.324,-12.231,0.0339,0.779,0.000865,0.104,0.437,peaceful_at_work_while_working
5,0.734,0.339,-8.123,0.0325,0.807,0.186,0.0801,0.952,peaceful_at_work_while_working
5,0.337,0.0674,-23.239,0.0364,0.995,0.862,0.1,0.234,peaceful_at_work_while_working
5,0.3,0.884,-3.836,0.0504,0.000553,0,0.065,0.407,angry_at_work_while_working
5,0.221,0.838,-5.064,0.055,3.23e-05,0.896,0.36,0.157,angry_at_work_while_working
5,0.474,0.951,-5.142,0.0676,0.000252,0.00203,0.0936,0.362,angry_at_work_while_working
5,0.13,0.658,-6.995,0.0389,0.508,0.828,0.662,0.113,angry_at_work_while_working
5,0.112,0.906,-3.983,0.0703,8.24e-05,0.000974,0.262,0.452,angry_at_work_while_working
